timestamp,file_name,satisfied_clauses,total_clauses,all_satisfied,voltages,plot_file
2025-03-12 01:52:01,uf20-0779.cnf,90,91,False,"{""x1"": 0.5339776251816176, ""x2"": -0.47346805416342147, ""x3"": 3.660943380304038, ""x4"": 1.123283453193264, ""x5"": -4.872780269295424, ""x6"": 1.2309772614522367, ""x7"": 8.080572461432505, ""x8"": 2.2422080470699113, ""x9"": 4.360269418818239, ""x10"": 2.736846952219544, ""x11"": 1.6199850856564357, ""x12"": 1.1570161521937696, ""x13"": -4.002179588542168, ""x14"": -6.241845814888585, ""x15"": 4.035410495996795, ""x16"": -5.198396800064015, ""x17"": 1.9502105343830665, ""x18"": 1.98856269397487, ""x19"": -2.082117681007864, ""x20"": 8.080137451967207}",graphs/uf20-0779.png
2025-03-12 01:52:09,uf20-0780.cnf,90,91,False,"{""x1"": 1.1110685994315375, ""x2"": -3.4299547592710558, ""x3"": 1.7112835248151734, ""x4"": -1.1297757144612248, ""x5"": -2.804824943976856, ""x6"": 4.495103521867803, ""x7"": 2.942933869815559, ""x8"": -1.0943960907325092, ""x9"": 4.680215843787244, ""x10"": 1.837091665370544, ""x11"": 0.5408946867128444, ""x12"": -2.9442970168504106, ""x13"": -3.6538822397691644, ""x14"": 8.262477547864858, ""x15"": 3.03917945198111, ""x16"": 4.657902273781966, ""x17"": -9.438479535935995, ""x18"": -3.801197874884201, ""x19"": 6.205934927492657, ""x20"": 0.6131492639975472}",graphs/uf20-0780.png
2025-03-12 01:52:17,uf20-0781.cnf,91,91,True,"{""x1"": 2.1672253438016287, ""x2"": -2.523811057713855, ""x3"": -1.4090225986496487, ""x4"": 2.4642718772150225, ""x5"": -3.2512445412281195, ""x6"": -6.648200262203738, ""x7"": -4.570986279857727, ""x8"": -3.006339339087285, ""x9"": 1.5533663910534896, ""x10"": 3.029448838323984, ""x11"": -1.2959464352898256, ""x12"": -7.042146687222576, ""x13"": -2.004662084614253, ""x14"": -1.4773634798563207, ""x15"": 4.2210123769361, ""x16"": 3.921262338561607, ""x17"": 3.1157113675621457, ""x18"": 1.7724995109093518, ""x19"": 2.3639042258155087, ""x20"": -5.146426115386945}",graphs/uf20-0781.png
2025-03-12 01:52:25,uf20-0782.cnf,90,91,False,"{""x1"": 0.20767565971382942, ""x2"": -5.389809085489981, ""x3"": -3.3810397476436505, ""x4"": -7.757954252918044, ""x5"": 2.138855076526272, ""x6"": -1.9095436095034668, ""x7"": 5.062902603938088, ""x8"": -0.955160146682042, ""x9"": 4.2418958273722245, ""x10"": -1.227531194136486, ""x11"": -1.692763053224604, ""x12"": -0.6364842278974027, ""x13"": 4.926739669679255, ""x14"": 1.8630688625680538, ""x15"": 3.114370664770207, ""x16"": 3.4310425229278123, ""x17"": -3.8076280572985266, ""x18"": -2.871515072588523, ""x19"": -2.840626843626616, ""x20"": 3.7170363362045253}",graphs/uf20-0782.png
2025-03-12 01:52:34,uf20-0783.cnf,90,91,False,"{""x1"": -3.5185307023322365, ""x2"": 2.6378986258819195, ""x3"": 0.42288827860682454, ""x4"": 0.4889774084071009, ""x5"": -2.1329016171126725, ""x6"": -0.3278444340483732, ""x7"": 4.4536022715693235, ""x8"": 5.830343328497129, ""x9"": 5.7952984123375675, ""x10"": 0.4608011143409213, ""x11"": 3.3034680821309856, ""x12"": -2.354983182747348, ""x13"": -1.7235492919511337, ""x14"": 1.9293379400037745, ""x15"": -0.8946747447985821, ""x16"": -3.5220481958698, ""x17"": 2.5625410334053136, ""x18"": -4.481861118068526, ""x19"": 8.01122113289952, ""x20"": 3.302300592586012}",graphs/uf20-0783.png
2025-03-12 01:52:42,uf20-0784.cnf,91,91,True,"{""x1"": 4.040467041859387, ""x2"": -2.66932532288359, ""x3"": -4.670641195313071, ""x4"": -2.664179717635887, ""x5"": -1.145332939057478, ""x6"": 2.7162649122323446, ""x7"": 2.3999876755841796, ""x8"": 4.753897887091185, ""x9"": -2.483039986811885, ""x10"": -2.0703142663353153, ""x11"": 2.29506139615322, ""x12"": 0.43734726690814946, ""x13"": 3.1437317827088025, ""x14"": 5.735860379425779, ""x15"": 3.7556356954203327, ""x16"": 4.7999389410119875, ""x17"": -8.481789888879533, ""x18"": -2.796126746695921, ""x19"": 0.37953343111605137, ""x20"": -0.9822228823242448}",graphs/uf20-0784.png
2025-03-12 01:52:50,uf20-0785.cnf,91,91,True,"{""x1"": -5.223430549227604, ""x2"": -0.6387645392192925, ""x3"": 5.766807705887183, ""x4"": -3.445319713156018, ""x5"": -4.0255262423925675, ""x6"": 1.6359580918368306, ""x7"": -0.1288483767272754, ""x8"": 4.221279489293807, ""x9"": -2.221443021111769, ""x10"": 0.8681519186157016, ""x11"": 3.5098793459874535, ""x12"": 2.695235462339252, ""x13"": 0.30488296550872696, ""x14"": -3.1548963376194727, ""x15"": 3.545341141313993, ""x16"": -1.1964619814009199, ""x17"": 0.4489152332220647, ""x18"": 3.1972004833539294, ""x19"": -6.018554212405189, ""x20"": -4.9202461538826885}",graphs/uf20-0785.png
2025-03-12 01:52:58,uf20-0786.cnf,91,91,True,"{""x1"": 4.740445679553364, ""x2"": -1.3310513640467336, ""x3"": 5.954784092699316, ""x4"": 7.875050829651968, ""x5"": 1.55399762350491, ""x6"": 0.21774761609917884, ""x7"": 0.7347896538554379, ""x8"": 3.6362020816201737, ""x9"": 0.5530182538874772, ""x10"": 2.1064234844718985, ""x11"": 3.4424648540664475, ""x12"": 9.117167763572334, ""x13"": 5.311267152056327, ""x14"": 1.4594311614422228, ""x15"": -5.814482932982729, ""x16"": -3.3212104419835593, ""x17"": -6.528075940017981, ""x18"": -5.9336583116094985, ""x19"": 3.1083573962873206, ""x20"": -0.2695094474072017}",graphs/uf20-0786.png
2025-03-12 01:53:06,uf20-0787.cnf,91,91,True,"{""x1"": -2.2787769020026034, ""x2"": -1.0027981264591563, ""x3"": 2.358884134561902, ""x4"": -3.9783017214856797, ""x5"": -4.697552132723989, ""x6"": -3.57220284157375, ""x7"": 0.31883338008047846, ""x8"": -5.764612807349687, ""x9"": -0.2856603050306732, ""x10"": -1.45602249231757, ""x11"": 6.063511072909181, ""x12"": 4.905446474961084, ""x13"": 3.429642335796752, ""x14"": -0.34355540584124455, ""x15"": 0.7336424913668952, ""x16"": -9.106872337995343, ""x17"": 2.2257689631416526, ""x18"": 0.7659746770059314, ""x19"": -3.0040213130843205, ""x20"": 0.4808510397041515}",graphs/uf20-0787.png
2025-03-12 01:53:14,uf20-0788.cnf,90,91,False,"{""x1"": 4.558930593001734, ""x2"": 0.3811687611053942, ""x3"": 0.08506643890018398, ""x4"": 4.248178304396908, ""x5"": -2.196294557863352, ""x6"": 0.6661191837589817, ""x7"": 3.6021765530316237, ""x8"": -0.9316870575410462, ""x9"": 2.833036700222376, ""x10"": 2.6555489558908754, ""x11"": -3.433408011367241, ""x12"": -3.570824097381669, ""x13"": 0.49525478163935677, ""x14"": -5.231471912453285, ""x15"": 4.32297587441749, ""x16"": 2.1554687126362073, ""x17"": 3.815038300078341, ""x18"": 0.5746688420001868, ""x19"": 4.373991322197231, ""x20"": 1.5626873975201834}",graphs/uf20-0788.png
