timestamp,file_name,satisfied_clauses,total_clauses,all_satisfied,satisfied_at,finished_at,voltages,plot_file
2025-04-27 17:36:11,uf20-010.cnf,91,91,True,1.420,20.000,"{""x1"": 1.0000002720415047, ""x2"": -2.5640084873049106e-07, ""x3"": 1.0000001688224203, ""x4"": 1.0000001584514389, ""x5"": 1.000000049434181, ""x6"": 1.0000002567496407, ""x7"": -2.4102312879121087e-07, ""x8"": -1.4739320251229653e-07, ""x9"": 1.000000162638302, ""x10"": 0.7496753212165976, ""x11"": -1.9355980121690562e-07, ""x12"": 1.0000001057816965, ""x13"": 1.000000138078433, ""x14"": 1.0000002199048368, ""x15"": 1.000000068405153, ""x16"": -1.952288933393975e-07, ""x17"": -2.0447106559665253e-07, ""x18"": -2.611627490539626e-07, ""x19"": 1.00000015193421, ""x20"": 1.000000072707799}",graphs/uf20-010.png
2025-04-27 17:36:30,uf20-011.cnf,91,91,True,1.470,20.000,"{""x1"": 1.0000001050603489, ""x2"": 1.000000158838, ""x3"": -2.0055288518696083e-07, ""x4"": 1.0000000990380018, ""x5"": -1.37703318589644e-07, ""x6"": 1.0000001729627999, ""x7"": -8.708612614095381e-08, ""x8"": -1.941940733810427e-07, ""x9"": -2.138858626877065e-07, ""x10"": 0.317208977913843, ""x11"": -1.8193088921996142e-07, ""x12"": -2.9756404022147007e-07, ""x13"": -8.936175097931334e-08, ""x14"": 1.0000001019309372, ""x15"": 0.33437612914754555, ""x16"": 1.0000001848833189, ""x17"": 1.0000001876291722, ""x18"": 1.0000001427114154, ""x19"": 1.0000002405331676, ""x20"": 1.0000002171139897}",graphs/uf20-011.png
2025-04-27 17:36:50,uf20-012.cnf,91,91,True,1.695,20.000,"{""x1"": 0.47718169076427364, ""x2"": 1.0000002250353797, ""x3"": -1.3168989373296513e-07, ""x4"": 1.0000001852888036, ""x5"": -2.6059450979583084e-07, ""x6"": 1.0000001244469392, ""x7"": -1.0263157191636047e-07, ""x8"": 0.4893772292655832, ""x9"": 1.0000000197856476, ""x10"": -9.900691768015463e-08, ""x11"": -7.637976397212674e-08, ""x12"": 0.7947682766883515, ""x13"": 1.0000001262677103, ""x14"": 1.0000001394380247, ""x15"": 0.4865872211954918, ""x16"": -7.295735616009012e-08, ""x17"": 1.0000000732646699, ""x18"": -1.3058373441036008e-07, ""x19"": 1.000000134524157, ""x20"": -3.469416165951347e-08}",graphs/uf20-012.png
2025-04-27 17:37:10,uf20-013.cnf,91,91,True,1.844,20.000,"{""x1"": -2.7963816709228917e-07, ""x2"": -2.442158070708942e-07, ""x3"": -1.8453975912389496e-07, ""x4"": -2.9418216800478445e-07, ""x5"": 1.0000000752173737, ""x6"": 0.6866789385748122, ""x7"": 1.0000001264768925, ""x8"": 1.0000001989023843, ""x9"": -1.0228071665770793e-07, ""x10"": -2.1193963976809391e-07, ""x11"": -1.070750828625176e-07, ""x12"": 1.00000019514295, ""x13"": -3.1098437532792916e-07, ""x14"": -4.7613002965731e-07, ""x15"": -3.483547599523131e-07, ""x16"": 1.0000001245396732, ""x17"": -4.94138926218708e-07, ""x18"": -1.643273309491991e-07, ""x19"": -3.0080798945694094e-07, ""x20"": 1.0000000832750462}",graphs/uf20-013.png
2025-04-27 17:37:31,uf20-014.cnf,91,91,True,4.923,20.000,"{""x1"": 1.0000004300151464, ""x2"": 1.0000002209633978, ""x3"": 1.0000013852862488, ""x4"": 1.0000005696029035, ""x5"": 0.78478148543773, ""x6"": 0.0021093885627266476, ""x7"": -1.1646480905185989e-06, ""x8"": -2.4268756206212924e-07, ""x9"": -1.3507046557018044e-06, ""x10"": 1.0000019276687944, ""x11"": 1.0000012145265218, ""x12"": 1.000000153675013, ""x13"": 1.0000013835357728, ""x14"": -1.4701264852922594e-06, ""x15"": -1.7735924507951572e-06, ""x16"": -7.641005501092447e-07, ""x17"": -7.844324366084316e-08, ""x18"": 1.0000008737607664, ""x19"": -9.90159526445792e-08, ""x20"": -5.205772676767772e-07}",graphs/uf20-014.png
2025-04-27 17:37:51,uf20-015.cnf,91,91,True,1.680,20.000,"{""x1"": -2.1566979923912514e-07, ""x2"": -8.01846154572705e-08, ""x3"": -1.3910999712897553e-07, ""x4"": -1.5538253700648112e-07, ""x5"": 0.37806260865934954, ""x6"": -2.6127786955550658e-08, ""x7"": 1.0000003333331011, ""x8"": -1.242460604591157e-07, ""x9"": 1.0000002216893145, ""x10"": 1.0000002114855102, ""x11"": 1.000000110830106, ""x12"": -1.7395198856856484e-07, ""x13"": 1.0000001566705132, ""x14"": 1.0000001337104418, ""x15"": -4.013245800560981e-07, ""x16"": 0.4562033704304705, ""x17"": -9.677411915338248e-08, ""x18"": 1.0000001643131566, ""x19"": -1.252399546498026e-07, ""x20"": -1.6526200026267568e-07}",graphs/uf20-015.png
2025-04-27 17:38:11,uf20-016.cnf,91,91,True,0.767,20.000,"{""x1"": -7.576478136843e-08, ""x2"": 1.000000205607521, ""x3"": -6.034777162605987e-08, ""x4"": 1.000000100099187, ""x5"": -1.4028949701993195e-07, ""x6"": 1.0000001159417498, ""x7"": -1.4284852224646194e-07, ""x8"": 1.000000048756154, ""x9"": 1.0000001552462268, ""x10"": -8.257330757517208e-08, ""x11"": 1.000000221008932, ""x12"": 1.0000001941911387, ""x13"": 0.6053616108432799, ""x14"": 1.0000002248369337, ""x15"": 1.0000001275442771, ""x16"": -2.22734932503817e-07, ""x17"": -1.271303279018413e-07, ""x18"": 1.0000000920690426, ""x19"": -1.0442683217421151e-07, ""x20"": 1.0000000553053645}",graphs/uf20-016.png
2025-04-27 17:38:31,uf20-017.cnf,91,91,True,1.192,20.000,"{""x1"": 1.0000000546196577, ""x2"": -1.6875715216263242e-07, ""x3"": 1.0000002085522113, ""x4"": 1.0000000655252366, ""x5"": -8.729360941838151e-08, ""x6"": -1.8253561840245114e-07, ""x7"": -1.928198798235822e-07, ""x8"": 1.0000002767547937, ""x9"": 1.0000000783625689, ""x10"": 1.0000000938514844, ""x11"": 1.0000001308481248, ""x12"": 1.0000001852575329, ""x13"": -3.7079565308301444e-07, ""x14"": -1.1217093431411303e-07, ""x15"": 1.000000162387372, ""x16"": 1.0000000828692888, ""x17"": 0.44308605807914053, ""x18"": 1.0000001732152248, ""x19"": 1.0000001511405454, ""x20"": 1.000000099485975}",graphs/uf20-017.png
2025-04-27 17:38:53,uf20-018.cnf,91,91,True,9.050,20.000,"{""x1"": -2.2310244433855382e-06, ""x2"": 1.0000015940496423, ""x3"": 1.0000039814273762, ""x4"": -1.6167788340262663e-06, ""x5"": 1.0000047059921924, ""x6"": -8.252029337261246e-06, ""x7"": -7.197489667257614e-07, ""x8"": 1.0000016457437935, ""x9"": 1.000002220211918, ""x10"": -3.0652279486785696e-06, ""x11"": -6.477300382902433e-06, ""x12"": 1.0000002631184561, ""x13"": 1.0000027056752452, ""x14"": 1.000006070069241, ""x15"": 1.0000030168741139, ""x16"": 1.0000014326021003, ""x17"": -2.8648728010023893e-06, ""x18"": 1.0000004397792137, ""x19"": 1.0000023605918633, ""x20"": 1.0000072532776587}",graphs/uf20-018.png
2025-04-27 17:39:13,uf20-019.cnf,91,91,True,1.381,20.000,"{""x1"": -8.108669282272217e-08, ""x2"": -2.1330794689069417e-07, ""x3"": 1.0000000721562836, ""x4"": 1.0000002100633785, ""x5"": 1.0000001769439728, ""x6"": -2.423496106191907e-07, ""x7"": -1.389107713318943e-07, ""x8"": 1.0000001908894809, ""x9"": 0.6111575186951625, ""x10"": -1.5601628858516927e-07, ""x11"": 1.0000002183101475, ""x12"": 1.0000001424583778, ""x13"": 1.0000001313494085, ""x14"": 1.0000002237123269, ""x15"": -2.4565049226079977e-07, ""x16"": -2.806640194434025e-07, ""x17"": -9.32758873166589e-08, ""x18"": 1.000000278993399, ""x19"": 1.0000002540167952, ""x20"": -1.9394022193283072e-07}",graphs/uf20-019.png
